Intermediate Tensor Shapes:
Tensor: /model.21/Concat_output_0, Shape: [1, 384, 7, 7]
Tensor: /model.22/Add_5_output_0, Shape: [1, 1]
Tensor: /model.22/Concat_16_output_0, Shape: [2]
Tensor: /model.21/cv2/conv/Conv_output_0, Shape: [1, 256, 7, 7]
Tensor: /model.22/Expand_2_output_0, Shape: [1, 1]
Tensor: /model.22/Expand_3_output_0, Shape: [1, 1]
Tensor: /model.21/cv2/act/Sigmoid_output_0, Shape: [1, 256, 7, 7]
Tensor: /model.22/Unsqueeze_9_output_0, Shape: [1, 1, 1]
Tensor: /model.22/Unsqueeze_10_output_0, Shape: [1, 1, 1]
Tensor: /model.21/cv2/act/Mul_output_0, Shape: [1, 256, 7, 7]
Tensor: /model.22/Concat_19_output_0, Shape: [1, 1, 2]
Tensor: /model.22/cv4.2/cv4.2.0/conv/Conv_output_0, Shape: [1, 32, 7, 7]
Tensor: /model.22/cv2.2/cv2.2.0/conv/Conv_output_0, Shape: [1, 64, 7, 7]
Tensor: /model.22/cv3.2/cv3.2.0/conv/Conv_output_0, Shape: [1, 80, 7, 7]
Tensor: /model.22/Reshape_15_output_0, Shape: [1, 2]
Tensor: /model.22/cv4.2/cv4.2.0/act/Sigmoid_output_0, Shape: [1, 32, 7, 7]
Tensor: /model.22/cv2.2/cv2.2.0/act/Sigmoid_output_0, Shape: [1, 64, 7, 7]
Tensor: /model.22/cv3.2/cv3.2.0/act/Sigmoid_output_0, Shape: [1, 80, 7, 7]
Tensor: /model.22/cv4.2/cv4.2.0/act/Mul_output_0, Shape: [1, 32, 7, 7]
Tensor: /model.22/cv2.2/cv2.2.0/act/Mul_output_0, Shape: [1, 64, 7, 7]
Tensor: /model.22/cv3.2/cv3.2.0/act/Mul_output_0, Shape: [1, 80, 7, 7]
Tensor: /model.22/cv4.2/cv4.2.1/conv/Conv_output_0, Shape: [1, 32, 7, 7]
Tensor: /model.22/cv2.2/cv2.2.1/conv/Conv_output_0, Shape: [1, 64, 7, 7]
Tensor: /model.22/cv3.2/cv3.2.1/conv/Conv_output_0, Shape: [1, 80, 7, 7]
Tensor: /model.22/cv4.2/cv4.2.1/act/Sigmoid_output_0, Shape: [1, 32, 7, 7]
Tensor: /model.22/cv2.2/cv2.2.1/act/Sigmoid_output_0, Shape: [1, 64, 7, 7]
Tensor: /model.22/cv3.2/cv3.2.1/act/Sigmoid_output_0, Shape: [1, 80, 7, 7]
Tensor: /model.22/cv4.2/cv4.2.1/act/Mul_output_0, Shape: [1, 32, 7, 7]
